formats,gen,name,hp,atk,def,spa,spd,spe,weight,height,isNonstandard,dex_number,alias,Type 1,Type 2,is_Strong
Uber,ss,Darmanitan-Galar,105,140,55,30,55,95,120.0,1.7,Standard,555.0,darmanitan-galar,Ice,None,1
LC,sv,Shellder,30,65,100,45,25,40,4.0,0.3,Standard,90.0,shellder,Water,None,0
PU,bw,Lunatone,70,55,65,95,85,70,168.0,1.0,Standard,337.0,lunatone,Rock,Psychic,0
LC,sv,Gimmighoul-Roaming,45,30,25,75,45,80,0.1,0.1,Standard,999.0,gimmighoul-roaming,Ghost,None,0
PU,sv,Squawkabilly-Yellow,82,96,51,45,51,92,2.4,0.6,Standard,931.0,squawkabilly-yellow,Normal,Flying,0
NU,sv,Mabosstiff,80,120,90,60,70,85,61.0,1.1,Standard,943.0,mabosstiff,Dark,None,0
PU,ss,Galvantula,70,77,60,97,60,108,14.3,0.8,Standard,596.0,galvantula,Bug,Electric,0
PUBL,ss,Vanilluxe,71,95,85,110,95,79,57.5,1.3,Standard,584.0,vanilluxe,Ice,None,0
LC,sv,Bramblin,40,65,30,45,35,60,0.6,0.6,Standard,946.0,bramblin,Grass,Ghost,0
LC,ss,Onix,35,45,160,30,45,70,210.0,8.8,Standard,95.0,onix,Rock,Ground,0
PU,bw,Butterfree,60,45,50,80,80,70,32.0,1.1,Standard,12.0,butterfree,Bug,Flying,0
NFE,sv,Staravia,55,75,50,40,40,80,15.5,0.6,Standard,397.0,staravia,Normal,Flying,0
LC,ss,Roggenrola,55,75,85,25,25,15,18.0,0.4,Standard,524.0,roggenrola,Rock,None,0
NFE,ss,Gloom,60,65,70,85,75,40,8.6,0.8,Standard,44.0,gloom,Grass,Poison,0
LC,ss,Oddish,45,50,55,75,65,30,5.4,0.5,Standard,43.0,oddish,Grass,Poison,0
RU,ss,Flygon,80,100,80,80,80,100,82.0,2.0,Standard,330.0,flygon,Ground,Dragon,0
PU,bw,Ariados,70,90,70,60,60,40,33.5,1.1,Standard,168.0,ariados,Bug,Poison,0
Uber,sv,Dialga-Origin,100,100,120,150,120,90,850.0,7.0,Standard,483.0,dialga-origin,Steel,Dragon,1
PU,sv,Drakloak,68,80,50,60,50,102,11.0,1.4,Standard,886.0,drakloak,Dragon,Ghost,0
LC,ss,Karrablast,50,75,45,40,45,60,5.9,0.5,Standard,588.0,karrablast,Bug,None,0
LC,sv,Mareanie,50,53,62,43,52,45,8.0,0.4,Standard,747.0,mareanie,Poison,Water,0
OU,sv,Electrode-Hisui,60,50,70,80,80,150,71.0,1.2,Standard,101.0,electrode-hisui,Electric,Grass,1
LC,ss,Buneary,55,66,44,44,56,85,5.5,0.4,Standard,427.0,buneary,Normal,None,0
LC,sv,Mareep,55,40,40,65,45,35,7.8,0.6,Standard,179.0,mareep,Electric,None,0
OU,sv,Garchomp,108,130,95,80,85,102,95.0,1.9,Standard,445.0,garchomp,Dragon,Ground,1
PU,bw,Pachirisu,60,45,70,45,90,95,3.9,0.4,Standard,417.0,pachirisu,Electric,None,0
OU,sv,Volcarona,85,60,65,135,105,100,46.0,1.6,Standard,637.0,volcarona,Bug,Fire,1
OU,sv,Urshifu-Rapid-Strike,100,130,100,63,60,97,105.0,1.9,Standard,892.0,urshifu-rapid-strike,Fighting,Water,1
LC,sv,Rellor,41,50,60,31,58,30,1.0,0.2,Standard,953.0,rellor,Bug,None,0
NU,ss,Xatu,65,75,70,95,70,95,15.0,1.5,Standard,178.0,xatu,Psychic,Flying,0
LC,sv,Starly,40,55,30,30,30,60,2.0,0.3,Standard,396.0,starly,Normal,Flying,0
LC,ss,Stufful,70,75,50,45,50,50,6.8,0.5,Standard,759.0,stufful,Normal,Fighting,0
OU,ss,Tapu Fini,70,75,115,95,130,85,21.2,1.3,Standard,788.0,tapu-fini,Water,Fairy,1
OU,sv,Houndstone,72,101,100,50,97,68,15.0,2.0,Standard,972.0,houndstone,Ghost,None,1
OU,sv,Decidueye-Hisui,88,112,80,95,95,60,37.0,1.6,Standard,724.0,decidueye-hisui,Grass,Fighting,1
Uber,sv,Rayquaza,105,150,90,150,90,95,206.5,7.0,Standard,384.0,rayquaza,Dragon,Flying,1
OU,sv,Orthworm,70,85,145,60,55,65,310.0,2.5,Standard,968.0,orthworm,Steel,None,1
LC,ss,Mudkip,50,70,50,50,50,40,7.6,0.4,Standard,258.0,mudkip,Water,None,0
LC,ss,Drilbur,60,85,40,30,45,68,8.5,0.3,Standard,529.0,drilbur,Ground,None,0
PU,bw,Seviper,73,100,60,100,60,65,52.5,2.7,Standard,336.0,seviper,Poison,None,0
NU,sv,Eelektross,85,115,80,105,80,50,80.5,2.1,Standard,604.0,eelektross,Electric,None,0
LC,sm,Pidgey,40,45,40,35,35,56,1.8,0.3,Standard,16.0,pidgey,Normal,Flying,0
LC,sv,Charmander,39,52,43,60,50,65,8.5,0.6,Standard,4.0,charmander,Fire,None,0
NFE,sv,Kubfu,60,90,60,53,50,72,12.0,0.6,Standard,891.0,kubfu,Fighting,None,0
LC,sv,Tinkatink,50,45,45,35,64,58,8.9,0.4,Standard,957.0,tinkatink,Fairy,Steel,0
UUBL,ss,Blaziken,80,120,70,110,70,80,52.0,1.9,Standard,257.0,blaziken,Fire,Fighting,1
NFE,ss,Palpitoad,75,65,55,65,55,69,17.0,0.8,Standard,536.0,palpitoad,Water,Ground,0
LC,sv,Mudbray,70,100,70,45,55,45,110.0,1.0,Standard,749.0,mudbray,Ground,None,0
NU,ss,Tyrantrum,82,121,119,69,59,71,270.0,2.5,Standard,697.0,tyrantrum,Rock,Dragon,0
PU,sm,Stoutland,85,110,90,45,90,80,61.0,1.2,Standard,508.0,stoutland,Normal,None,0
NFE,sm,Prinplup,64,66,68,81,76,50,23.0,0.8,Standard,394.0,prinplup,Water,None,0
LC,ss,Remoraid,35,65,35,65,35,65,12.0,0.6,Standard,223.0,remoraid,Water,None,0
NFE,sv,Flaaffy,70,55,55,80,60,45,13.3,0.8,Standard,180.0,flaaffy,Electric,None,0
LC,ss,Nincada,31,45,90,30,30,40,5.5,0.5,Standard,290.0,nincada,Bug,Ground,0
OU,sv,Iron Moth,80,70,60,140,110,110,36.0,1.2,Standard,994.0,iron-moth,Fire,Poison,1
LC,sv,Spoink,60,25,35,70,80,60,30.6,0.7,Standard,325.0,spoink,Psychic,None,0
PU,xy,Swanna,75,87,63,87,63,98,24.2,1.3,Standard,581.0,swanna,Water,Flying,0
LC,ss,Caterpie,45,30,35,20,20,45,2.9,0.3,Standard,10.0,caterpie,Bug,None,0
Uber,ss,Ho-Oh,106,130,90,110,154,90,199.0,3.8,Standard,250.0,ho-oh,Fire,Flying,1
LC,sm,Ekans,35,60,44,40,54,55,6.9,2.0,Standard,23.0,ekans,Poison,None,0
PU,bw,Tropius,99,68,83,72,87,51,100.0,2.0,Standard,357.0,tropius,Grass,Flying,0
NFE,ss,Corsola-Galar,60,55,100,65,100,30,0.5,0.6,Standard,222.0,corsola-galar,Ghost,None,0
NU,ss,Stakataka,61,131,211,53,101,13,820.0,5.5,Standard,805.0,stakataka,Rock,Steel,0
RUBL,ss,Obstagoon,93,90,101,60,81,95,46.0,1.6,Standard,862.0,obstagoon,Dark,Normal,0
LC,ss,Corphish,43,80,65,50,35,35,11.5,0.6,Standard,341.0,corphish,Water,None,0
PU,bw,Purugly,71,82,64,64,59,112,43.8,1.0,Standard,432.0,purugly,Normal,None,0
PU,xy,Leavanny,75,103,80,70,80,92,20.5,1.2,Standard,542.0,leavanny,Bug,Grass,0
PU,ss,Eldegoss,60,50,90,80,120,60,2.5,0.5,Standard,830.0,eldegoss,Grass,None,0
LC,sv,Pineco,50,65,90,35,35,15,7.2,0.6,Standard,204.0,pineco,Bug,None,0
NFE,ss,Cosmoem,43,29,131,29,131,37,999.9,0.1,Standard,790.0,cosmoem,Psychic,None,0
UU,sv,Gengar,60,65,60,130,75,110,40.5,1.5,Standard,94.0,gengar,Ghost,Poison,0
OU,sv,Lilligant-Hisui,70,105,75,50,75,105,19.2,1.2,Standard,549.0,lilligant-hisui,Grass,Fighting,1
LC,sm,Bellsprout,50,75,35,70,30,40,4.0,0.7,Standard,69.0,bellsprout,Grass,Poison,0
UU,sv,Haxorus,76,147,90,60,70,97,105.5,1.8,Standard,612.0,haxorus,Dragon,None,0
LC,sv,Shroomish,60,40,60,40,60,35,4.5,0.4,Standard,285.0,shroomish,Grass,None,0
UU,ss,Celesteela,97,101,103,107,101,61,999.9,9.2,Standard,797.0,celesteela,Steel,Flying,0
PU,sv,Skuntank,103,93,67,71,61,84,38.0,1.0,Standard,435.0,skuntank,Poison,Dark,0
PU,bw,Meganium,80,82,100,83,100,80,100.5,1.8,Standard,154.0,meganium,Grass,None,0
PU,xy,Golem,80,120,130,55,65,45,300.0,1.4,Standard,76.0,golem,Rock,Ground,0
OU,sv,Volcanion,80,110,120,130,90,70,195.0,1.7,Standard,721.0,volcanion,Fire,Water,1
LC,sv,Riolu,40,70,40,35,40,60,20.2,0.7,Standard,447.0,riolu,Fighting,None,0
PU,bw,Jumpluff,75,55,70,55,85,110,3.0,0.8,Standard,189.0,jumpluff,Grass,Flying,0
PU,sm,Ludicolo,80,70,70,90,100,70,55.0,1.5,Standard,272.0,ludicolo,Water,Grass,0
NU,ss,Hitmontop,50,95,95,35,110,70,48.0,1.4,Standard,237.0,hitmontop,Fighting,None,0
OU,sv,Cresselia,120,70,110,75,120,85,85.6,1.5,Standard,488.0,cresselia,Psychic,None,1
LC,ss,Goldeen,45,67,60,35,50,63,15.0,0.6,Standard,118.0,goldeen,Water,None,0
OU,sv,Rillaboom,100,125,90,60,70,85,90.0,2.1,Standard,812.0,rillaboom,Grass,None,1
LC,sm,Pansear,50,53,48,53,48,64,11.0,0.6,Standard,513.0,pansear,Fire,None,0
NFE,ss,Whirlipede,40,55,99,40,79,47,58.5,1.2,Standard,544.0,whirlipede,Bug,Poison,0
LC,ss,Vanillite,36,50,50,65,60,44,5.7,0.4,Standard,582.0,vanillite,Ice,None,0
NU,xy,Pinsir,65,125,100,55,70,85,55.0,1.5,Standard,127.0,pinsir,Bug,None,0
NFE,ss,Seadra,55,65,95,95,45,85,25.0,1.2,Standard,117.0,seadra,Water,None,0
NUBL,ss,Porygon-Z,85,80,70,135,75,90,34.0,0.9,Standard,474.0,porygon-z,Normal,None,0
PU,ss,Aromatisse,101,72,72,99,89,29,15.5,0.8,Standard,683.0,aromatisse,Fairy,None,0
LC,sv,Growlithe-Hisui,60,75,45,65,50,55,22.7,0.8,Standard,58.0,growlithe-hisui,Fire,Rock,0
OU,sv,Iron Treads,90,112,120,72,70,106,240.0,0.9,Standard,990.0,iron-treads,Ground,Steel,1
NFE,sv,Pawmo,60,75,40,50,40,85,6.5,0.4,Standard,922.0,pawmo,Electric,Fighting,0
PU,bw,Luvdisc,43,30,55,40,65,97,8.7,0.6,Standard,370.0,luvdisc,Water,None,0
PU,bw,Dustox,60,50,70,50,90,65,31.6,1.2,Standard,269.0,dustox,Bug,Poison,0
PU,bw,Parasect,60,95,80,60,80,30,29.5,1.0,Standard,47.0,parasect,Bug,Grass,0
RU,ss,Milotic,95,60,79,100,125,81,162.0,6.2,Standard,350.0,milotic,Water,None,0
UU,sv,Espeon,65,65,60,130,95,110,26.5,0.9,Standard,196.0,espeon,Psychic,None,0
UUBL,sv,Iron Leaves,90,130,88,70,108,104,125.0,1.5,Standard,1010.0,iron-leaves,Grass,Psychic,1
LC,ss,Wooloo,42,40,55,40,45,48,6.0,0.6,Standard,831.0,wooloo,Normal,None,0
NFE,ss,Torracat,65,85,50,80,50,90,25.0,0.7,Standard,726.0,torracat,Fire,None,0
NFE,ss,Linoone-Galar,78,70,61,50,61,100,32.5,0.5,Standard,264.0,linoone-galar,Dark,Normal,0
PU,sv,Gabite,68,90,65,50,55,82,56.0,1.4,Standard,444.0,gabite,Dragon,Ground,0
UU,sv,Talonflame,78,81,71,74,69,126,24.5,1.2,Standard,663.0,talonflame,Fire,Flying,0
NFE,ss,Lairon,60,90,140,50,50,40,120.0,0.9,Standard,305.0,lairon,Steel,Rock,0
UU,ss,Crawdaunt,63,120,85,90,55,55,32.8,1.1,Standard,342.0,crawdaunt,Water,Dark,0
RU,sv,Tatsugiri,68,50,60,120,95,82,8.0,0.3,Standard,978.0,tatsugiri,Dragon,Water,0
Uber,sv,Mewtwo,106,110,90,154,90,130,122.0,2.0,Standard,150.0,mewtwo,Psychic,None,1
NFE,ss,Electabuzz,65,83,57,95,85,105,30.0,1.1,Standard,125.0,electabuzz,Electric,None,0
LC,sv,Pawmi,45,50,20,40,25,60,2.5,0.3,Standard,921.0,pawmi,Electric,None,0
OU,sv,Dugtrio-Alola,35,100,60,50,70,110,66.6,0.7,Standard,51.0,dugtrio-alola,Ground,Steel,1
PU,bw,Banette,64,115,65,83,63,65,12.5,1.1,Standard,354.0,banette,Ghost,None,0
OU,sv,Ceruledge,75,125,80,60,100,85,62.0,1.6,Standard,937.0,ceruledge,Fire,Ghost,1
NU,ss,Snorlax,160,110,65,65,110,30,460.0,2.1,Standard,143.0,snorlax,Normal,None,0
PU,sv,Glaceon,65,60,110,130,95,65,25.9,0.8,Standard,471.0,glaceon,Ice,None,0
PU,bw,Bibarel,79,85,60,55,60,71,31.5,1.0,Standard,400.0,bibarel,Normal,Water,0
OU,sv,Chien-Pao,80,120,80,90,65,135,152.2,1.9,Standard,1002.0,chien-pao,Dark,Ice,1
PU,bw,Wailord,170,90,45,90,45,60,398.0,14.5,Standard,321.0,wailord,Water,None,0
PU,bw,Raticate,55,81,60,50,70,97,18.5,0.7,Standard,20.0,raticate,Normal,None,0
Uber,ss,Marshadow,90,125,80,90,90,125,22.2,0.7,Standard,802.0,marshadow,Fighting,Ghost,1
LC,sv,Nacli,55,55,75,35,35,25,16.0,0.4,Standard,932.0,nacli,Rock,None,0
OU,sv,Glastrier,100,145,130,65,110,30,800.0,2.2,Standard,896.0,glastrier,Ice,None,1
LC,sm,Cranidos,67,125,40,30,30,58,31.5,0.9,Standard,408.0,cranidos,Rock,None,0
PUBL,xy,Throh,120,100,85,30,85,45,55.5,1.3,Standard,538.0,throh,Fighting,None,0
OU,sv,Kleavor,70,135,95,45,70,85,89.0,1.8,Standard,900.0,kleavor,Bug,Rock,1
NFE,sv,Jigglypuff,115,45,20,45,25,20,5.5,0.5,Standard,39.0,jigglypuff,Normal,Fairy,0
NFE,ss,Togetic,55,40,85,80,105,40,3.2,0.6,Standard,176.0,togetic,Fairy,Flying,0
LC,sv,Larvitar,50,64,50,45,50,41,72.0,0.6,Standard,246.0,larvitar,Rock,Ground,0
OU,sv,Corviknight,98,87,105,53,85,67,75.0,2.2,Standard,823.0,corviknight,Flying,Steel,1
LC,sv,Froakie,41,56,40,62,44,71,7.0,0.3,Standard,656.0,froakie,Water,None,0
PU,sv,Lycanroc-Midnight,85,115,75,55,75,82,25.0,1.1,Standard,745.0,lycanroc-midnight,Rock,None,0
NU,sv,Klawf,70,100,115,35,55,75,79.0,1.3,Standard,950.0,klawf,Rock,None,0
LC,sv,Cyndaquil,39,52,43,60,50,65,7.9,0.5,Standard,155.0,cyndaquil,Fire,None,0
NFE,sv,Vigoroth,80,80,80,55,55,90,46.5,1.4,Standard,288.0,vigoroth,Normal,None,0
PU,sv,Falinks,65,100,100,70,60,75,62.0,3.0,Standard,870.0,falinks,Fighting,None,0
LC,sv,Zorua-Hisui,35,60,40,85,40,70,12.5,0.7,Standard,570.0,zorua-hisui,Normal,Ghost,0
NFE,sm,Trumbeak,55,85,50,40,50,75,14.8,0.6,Standard,732.0,trumbeak,Normal,Flying,0
PU,bw,Pidgeot,83,80,75,70,70,91,39.5,1.5,Standard,18.0,pidgeot,Normal,Flying,0
NU,sv,Tauros-Paldea-Combat,75,110,105,30,70,100,88.4,1.4,Standard,128.0,tauros-paldea-combat,Fighting,None,0
PU,sv,Camerupt,70,100,70,105,75,40,220.0,1.9,Standard,323.0,camerupt,Fire,Ground,0
NFE,ss,Combusken,60,85,60,85,60,55,19.5,0.9,Standard,256.0,combusken,Fire,Fighting,0
RU,sv,Revavroom,80,119,90,54,67,90,120.0,1.8,Standard,966.0,revavroom,Steel,Poison,0
NU,sv,Veluza,90,102,73,78,65,70,90.0,2.5,Standard,976.0,veluza,Water,Psychic,0
LC,sv,Sunkern,30,30,30,30,30,30,1.8,0.3,Standard,191.0,sunkern,Grass,None,0
LC,ss,Horsea,30,40,70,70,25,60,8.0,0.4,Standard,116.0,horsea,Water,None,0
PU,xy,Beheeyem,75,75,75,125,95,40,34.5,1.0,Standard,606.0,beheeyem,Psychic,None,0
PU,sv,Ampharos,90,75,85,115,90,55,61.5,1.4,Standard,181.0,ampharos,Electric,None,0
RU,sv,Sableye,50,75,75,65,65,50,11.0,0.5,Standard,302.0,sableye,Dark,Ghost,0
PU,ss,Silvally-Steel,95,95,95,95,95,95,100.5,2.3,Standard,773.0,silvally-steel,Steel,None,0
UU,sv,Cyclizar,70,95,65,85,65,121,63.0,1.6,Standard,967.0,cyclizar,Dragon,Normal,0
LC,sv,Noibat,40,30,35,45,40,55,8.0,0.5,Standard,714.0,noibat,Flying,Dragon,0
PU,sv,Gogoat,123,100,62,97,81,68,91.0,1.7,Standard,673.0,gogoat,Grass,None,0
LC,sv,Chespin,56,61,65,48,45,38,9.0,0.4,Standard,650.0,chespin,Grass,None,0
PU,sm,Musharna,116,55,85,107,95,29,60.5,1.1,Standard,518.0,musharna,Psychic,None,0
RU,sv,Iron Thorns,100,134,110,70,84,72,303.0,1.6,Standard,995.0,iron-thorns,Rock,Electric,0
LC,sm,Paras,35,70,55,45,55,25,5.4,0.3,Standard,46.0,paras,Bug,Grass,0
LC,sv,Nymble,33,46,40,21,25,45,1.0,0.2,Standard,919.0,nymble,Bug,None,0
LC,sm,Totodile,50,65,64,44,48,43,9.5,0.6,Standard,158.0,totodile,Water,None,0
LC,sv,Lechonk,54,45,40,35,45,35,10.2,0.5,Standard,915.0,lechonk,Normal,None,0
LC,sv,Pichu,20,40,15,35,35,60,2.0,0.3,Standard,172.0,pichu,Electric,None,0
NFE,sm,Pidgeotto,63,60,55,50,50,71,30.0,1.1,Standard,17.0,pidgeotto,Normal,Flying,0
PU,bw,Simisage,75,98,63,98,63,101,30.5,1.1,Standard,512.0,simisage,Grass,None,0
NUBL,sv,Venomoth,70,65,60,90,75,90,12.5,1.5,Standard,49.0,venomoth,Bug,Poison,0
NU,sv,Dudunsparce-Three-Segment,125,100,80,85,75,55,47.4,4.5,Standard,982.0,dudunsparce-three-segment,Normal,None,0
RU,sv,Coalossal,110,80,120,80,90,30,310.5,2.8,Standard,839.0,coalossal,Rock,Fire,0
PUBL,bw,Simipour,75,98,63,98,63,101,29.0,1.0,Standard,516.0,simipour,Water,None,0
LC,ss,Pancham,67,82,62,46,48,43,8.0,0.6,Standard,674.0,pancham,Fighting,None,0
OU,sv,Mesprit,80,105,105,105,105,80,0.3,0.3,Standard,481.0,mesprit,Psychic,None,1
PU,sv,Masquerain,70,60,62,100,82,80,3.6,0.8,Standard,284.0,masquerain,Bug,Flying,0
PU,xy,Trevenant,85,110,76,65,82,56,71.0,1.5,Standard,709.0,trevenant,Ghost,Grass,0
RUBL,sv,Drednaw,90,115,90,48,68,74,115.5,1.0,Standard,834.0,drednaw,Water,Rock,0
NU,ss,Mantine,85,40,70,80,140,70,220.0,2.1,Standard,226.0,mantine,Water,Flying,0
NUBL,ss,Sandshrew-Alola,50,75,90,10,35,40,40.0,0.7,Standard,27.0,sandshrew-alola,Ice,Steel,0
PU,ss,Togedemaru,65,98,63,40,73,96,3.3,0.3,Standard,777.0,togedemaru,Electric,Steel,0
LC,sv,Bonsly,50,80,95,10,45,10,15.0,0.5,Standard,438.0,bonsly,Rock,None,0
LC,sv,Finizen,70,45,40,45,40,75,60.2,1.3,Standard,963.0,finizen,Water,None,0
PU,bw,Walrein,110,80,90,95,90,65,150.6,1.4,Standard,365.0,walrein,Ice,Water,0
PUBL,ss,Kingdra,75,95,95,95,95,85,152.0,1.8,Standard,230.0,kingdra,Water,Dragon,0
OU,ss,Ninetales-Alola,73,67,75,81,100,109,19.9,1.1,Standard,38.0,ninetales-alola,Ice,Fairy,1
OU,sv,Dondozo,150,100,115,65,65,35,220.0,12.0,Standard,977.0,dondozo,Water,None,1
NFE,ss,Metang,60,75,100,55,80,50,202.5,1.2,Standard,375.0,metang,Steel,Psychic,0
PU,xy,Leafeon,65,110,130,60,65,95,25.5,1.0,Standard,470.0,leafeon,Grass,None,0
Uber,sv,Annihilape,110,115,80,50,90,90,56.0,1.2,Standard,979.0,annihilape,Fighting,Ghost,1
LC,ss,Sizzlipede,50,65,45,50,50,45,1.0,0.7,Standard,850.0,sizzlipede,Fire,Bug,0
Uber,ss,Xerneas,126,131,95,131,98,99,215.0,3.0,Standard,716.0,xerneas,Fairy,None,1
UU,sv,Quagsire,95,85,85,65,65,35,75.0,1.4,Standard,195.0,quagsire,Water,Ground,0
RUBL,sv,Polteageist-Antique,60,65,65,134,114,70,0.4,0.2,Standard,855.0,polteageist-antique,Ghost,None,0
LC,ss,Milcery,45,40,40,50,61,34,0.3,0.2,Standard,868.0,milcery,Fairy,None,0
LC,sm,Patrat,45,55,39,35,39,42,11.6,0.5,Standard,504.0,patrat,Normal,None,0
NU,sv,Farigiraf,120,90,70,110,70,60,160.0,3.2,Standard,981.0,farigiraf,Normal,Psychic,0
NFE,ss,Dottler,50,35,80,50,90,30,19.5,0.4,Standard,825.0,dottler,Bug,Psychic,0
LC,sm,Ducklett,62,44,50,44,50,55,5.5,0.5,Standard,580.0,ducklett,Water,Flying,0
OU,sv,Clodsire,130,75,60,45,100,20,223.0,1.8,Standard,980.0,clodsire,Poison,Ground,1
LC,ss,Hoothoot,60,30,30,36,56,50,21.2,0.7,Standard,163.0,hoothoot,Normal,Flying,0
LC,sv,Clauncher,50,53,62,58,63,44,8.3,0.5,Standard,692.0,clauncher,Water,None,0
NFE,sm,Bayleef,60,62,80,63,80,60,15.8,1.2,Standard,153.0,bayleef,Grass,None,0
LC,sv,Flabebe,44,38,39,61,79,42,0.1,0.1,Standard,669.0,flabebe,Fairy,None,0
LC,sv,Skrelp,50,60,60,60,60,30,7.3,0.5,Standard,690.0,skrelp,Poison,Water,0
PU,ss,Wishiwashi,45,20,20,25,25,40,0.3,0.2,Standard,746.0,wishiwashi,Water,None,0
NFE,ss,Rhydon,105,130,120,45,45,40,120.0,1.9,Standard,112.0,rhydon,Ground,Rock,0
UU,ss,Skarmory,65,80,140,40,70,70,50.5,1.7,Standard,227.0,skarmory,Steel,Flying,0
LC,ss,Espurr,62,48,54,63,60,68,3.5,0.3,Standard,677.0,espurr,Psychic,None,0
LC,ss,Cubone,50,50,95,40,50,35,6.5,0.4,Standard,104.0,cubone,Ground,None,0
LC,sv,Shellos,76,48,48,57,62,34,6.3,0.3,Standard,422.0,shellos,Water,None,0
NFE,ss,Cherubi,45,35,45,62,53,35,3.3,0.4,Standard,420.0,cherubi,Grass,None,0
NUBL,sv,Oricorio-Sensu,75,70,70,98,70,93,3.4,0.6,Standard,741.0,oricorio-sensu,Ghost,Flying,0
PU,bw,Emolga,55,75,60,75,60,103,5.0,0.4,Standard,587.0,emolga,Electric,Flying,0
NU,sm,Minior,60,100,60,100,60,120,0.3,0.3,Standard,774.0,minior,Rock,Flying,0
LC,ss,Staryu,30,45,55,70,55,85,34.5,0.8,Standard,120.0,staryu,Water,None,0
LC,sv,Psyduck,50,52,48,65,50,55,19.6,0.8,Standard,54.0,psyduck,Water,None,0
LC,sm,Chikorita,45,49,65,49,65,45,6.4,0.9,Standard,152.0,chikorita,Grass,None,0
NFE,sv,Luxio,60,85,49,60,49,60,30.5,0.9,Standard,404.0,luxio,Electric,None,0
Uber,sv,Espathra,95,60,60,101,60,105,90.0,1.9,Standard,956.0,espathra,Psychic,None,1
RU,ss,Steelix,75,85,200,55,65,30,400.0,9.2,Standard,208.0,steelix,Steel,Ground,0
LC,ss,Bunnelby,38,36,38,32,36,57,5.0,0.4,Standard,659.0,bunnelby,Normal,None,0
NU,sv,Appletun,110,85,80,100,80,30,13.0,0.4,Standard,842.0,appletun,Grass,Dragon,0
RU,sv,Cetitan,170,113,65,45,55,73,700.0,4.5,Standard,975.0,cetitan,Ice,None,0
NUBL,ss,Blastoise,79,83,100,85,105,78,85.5,1.6,Standard,9.0,blastoise,Water,None,0
Uber,ss,Necrozma-Dusk Mane,97,157,127,113,109,77,460.0,3.8,Standard,800.0,necrozma-dusk-mane,Psychic,Steel,1
NFE,ss,Vulpix-Alola,38,41,40,50,65,65,9.9,0.6,Standard,37.0,vulpix-alola,Ice,None,0
LC,sv,Croagunk,48,61,40,61,40,50,23.0,0.7,Standard,453.0,croagunk,Poison,Fighting,0
OU,sv,Chesnaught,88,107,122,74,75,64,90.0,1.6,Standard,652.0,chesnaught,Grass,Fighting,1
PUBL,ss,Sceptile,70,85,65,105,85,120,52.2,1.7,Standard,254.0,sceptile,Grass,None,0
LC,ss,Aron,50,70,100,40,40,30,60.0,0.4,Standard,304.0,aron,Steel,Rock,0
NFE,ss,Charjabug,57,82,95,55,75,36,10.5,0.5,Standard,737.0,charjabug,Bug,Electric,0
LC,ss,Minccino,55,50,40,40,40,75,5.8,0.4,Standard,572.0,minccino,Normal,None,0
LC,sv,Pawniard,45,85,70,40,40,60,10.2,0.5,Standard,624.0,pawniard,Dark,Steel,0
PU,sm,Aurorus,123,77,72,99,92,58,225.0,2.7,Standard,699.0,aurorus,Rock,Ice,0
LC,ss,Pumpkaboo-Super,59,66,70,44,55,41,15.0,0.8,Standard,710.0,pumpkaboo-super,Ghost,Grass,0
LC,ss,Zigzagoon-Galar,38,30,41,30,41,60,17.5,0.4,Standard,263.0,zigzagoon-galar,Dark,Normal,0
NFE,sv,Fraxure,66,117,70,40,50,67,36.0,1.0,Standard,611.0,fraxure,Dragon,None,0
LC,sv,Azurill,50,20,40,20,40,20,2.0,0.2,Standard,298.0,azurill,Normal,Fairy,0
LC,sv,Combee,30,30,42,30,42,70,5.5,0.3,Standard,415.0,combee,Bug,Flying,0
OU,sv,Mew,100,100,100,100,100,100,4.0,0.4,Standard,151.0,mew,Psychic,None,1
NFE,ss,Hakamo-o,55,75,90,65,70,65,47.0,1.2,Standard,783.0,hakamo-o,Dragon,Fighting,0
OU,sv,Tornadus-Therian,79,100,80,110,90,121,63.0,1.4,Standard,641.0,tornadus-therian,Flying,None,1
Uber,sv,Calyrex-Shadow,100,85,80,165,100,150,53.6,2.4,Standard,898.0,calyrex-shadow,Psychic,Ghost,1
LC,sv,Sandile,50,72,35,35,35,65,15.2,0.7,Standard,551.0,sandile,Ground,Dark,0
LC,sv,Maschiff,60,78,60,40,51,51,16.0,0.5,Standard,942.0,maschiff,Dark,None,0
PU,bw,Phione,80,80,80,80,80,80,3.1,0.4,Standard,489.0,phione,Water,None,0
PU,sv,Dragonair,61,84,65,70,70,70,16.5,4.0,Standard,148.0,dragonair,Dragon,None,0
LC,sv,Dratini,41,64,45,50,50,50,3.3,1.8,Standard,147.0,dratini,Dragon,None,0
PU,xy,Gourgeist-Super,85,100,122,58,75,54,39.0,1.7,Standard,711.0,gourgeist-super,Ghost,Grass,0
UU,sv,Kilowattrel,70,70,60,105,60,125,38.6,1.4,Standard,941.0,kilowattrel,Electric,Flying,0
LC,sv,Applin,40,40,80,40,40,20,0.5,0.2,Standard,840.0,applin,Grass,Dragon,0
RUBL,ss,Diggersby,85,56,77,50,77,78,42.4,1.0,Standard,660.0,diggersby,Normal,Ground,0
LC,ss,Feebas,20,15,20,10,55,80,7.4,0.6,Standard,349.0,feebas,Water,None,0
RU,ss,Rhyperior,115,140,130,55,55,40,282.8,2.4,Standard,464.0,rhyperior,Ground,Rock,0
